City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Waddan,LY,2021-04-25 23:39:13,29.1614,16.139,61.41,65,1,7.96
162,Cabo San Lucas,MX,2021-04-25 23:37:25,22.8909,-109.9124,82.99,24,90,8.05
163,Carauari,BR,2021-04-25 23:47:36,-4.8828,-66.8958,75.61,95,93,0.67
164,Abaza,RU,2021-04-25 23:47:36,52.655,90.0928,32.18,74,64,4.16
165,Longyearbyen,SJ,2021-04-25 23:38:29,78.2186,15.6401,15.8,67,20,8.05
166,Santa Cruz,BO,2021-04-25 23:47:37,-17.8,-63.1667,68.0,88,75,6.91
167,Henties Bay,NA,2021-04-25 23:38:30,-22.116,14.2845,61.0,92,12,3.53
168,Alta Floresta,BR,2021-04-25 23:37:47,-9.8756,-56.0861,73.04,94,87,2.73
169,Canala,NC,2021-04-25 23:47:37,-21.5333,165.95,77.0,65,75,12.66
170,Wasilla,US,2021-04-25 23:47:38,61.5814,-149.4394,60.8,29,1,6.91
171,Waipawa,NZ,2021-04-25 23:47:38,-41.4122,175.5153,60.8,55,40,12.66
172,Fairbanks,US,2021-04-25 23:37:44,64.8378,-147.7164,62.6,30,1,0.89
173,Jalingo,NG,2021-04-25 23:47:39,8.8833,11.3667,79.75,59,71,3.89
174,Beloha,MG,2021-04-25 23:38:01,-25.1667,45.05,71.53,71,0,6.53
175,Zhigansk,RU,2021-04-25 23:39:08,66.7697,123.3711,32.47,99,100,8.46
176,Puerto Ayora,EC,2021-04-25 23:47:39,-0.7393,-90.3518,76.15,81,42,7.56
177,Nyurba,RU,2021-04-25 23:47:40,63.2842,118.3319,33.78,90,100,7.09
178,Tulsipur,NP,2021-04-25 23:47:40,28.131,82.2973,80.01,54,0,1.99
179,Iracoubo,GF,2021-04-25 23:47:41,5.4802,-53.2011,77.65,89,86,10.92
180,Sompeta,IN,2021-04-25 23:47:41,18.9333,84.6,79.03,74,21,10.67
181,Ust-Kut,RU,2021-04-25 23:38:28,56.7938,105.7672,31.96,89,87,5.23
182,Rocha,UY,2021-04-25 23:39:39,-34.4833,-54.3333,58.28,80,45,8.59
183,Cidreira,BR,2021-04-25 23:44:52,-30.1811,-50.2056,67.62,62,87,10.4
184,Lingao,CN,2021-04-25 23:47:42,19.9103,109.6859,78.69,85,100,13.04
185,Stornoway,GB,2021-04-25 23:38:01,58.2093,-6.3865,50.0,81,100,6.91
186,Nicoya,CR,2021-04-25 23:47:30,10.1483,-85.452,89.6,45,0,14.97
187,Derzhavinsk,KZ,2021-04-25 23:46:04,51.1,66.3167,47.97,70,70,14.43
188,Ust-Nera,RU,2021-04-25 23:40:01,64.5667,143.2,17.76,85,88,5.57
189,Viransehir,TR,2021-04-25 23:43:49,37.2353,39.7631,63.73,50,99,9.06
190,Torzhok,RU,2021-04-25 23:47:43,57.0436,34.9622,32.41,86,100,8.66
191,Muros,ES,2021-04-25 23:38:40,42.7762,-9.0603,59.0,92,54,1.01
192,Wakkanai,JP,2021-04-25 23:47:43,45.4094,141.6739,41.0,60,40,9.22
193,Shizukuishi,JP,2021-04-25 23:47:44,39.6833,140.9833,46.4,46,40,13.8
194,Broken Hill,AU,2021-04-25 23:37:45,-31.95,141.4333,59.0,55,0,7.76
195,Saint-Louis,SN,2021-04-25 23:47:45,16.3333,-15.0,82.4,36,0,2.3
196,Gondanglegi,ID,2021-04-25 23:47:45,-7.7479,112.0132,76.84,85,40,0.38
197,Namibe,AO,2021-04-25 23:39:54,-15.1961,12.1522,76.96,66,0,9.48
198,Potsdam,DE,2021-04-25 23:47:46,52.3989,13.0657,36.0,58,8,5.14
199,Itarema,BR,2021-04-25 23:39:06,-2.9248,-39.9167,77.4,80,7,8.46
200,Barranca,PE,2021-04-25 23:47:46,-10.75,-77.7667,66.78,83,18,6.85
201,Schwandorf,DE,2021-04-25 23:47:47,49.3262,12.1093,42.01,60,1,5.91
202,Kindu,CD,2021-04-25 23:47:47,-2.95,25.95,67.51,96,94,0.92
203,Erenhot,CN,2021-04-25 23:47:47,43.6475,111.9767,44.19,13,39,29.28
