City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
480,Yaan,NG,77.41,7.3833,8.5667,
487,Sao Jose Da Coroa Grande,BR,78.44,-8.8978,-35.1478,Crôa Mares Hotel
491,Humaita,BR,76.77,-7.5061,-63.0208,Corrêa Hotel
501,Ramhormoz,IR,79.95,31.28,49.6035,کافی نت کاریزما
510,Gamba,GA,77.74,-2.65,10.0,
516,Sao Joao Da Barra,BR,74.61,-21.6403,-41.0511,Pousada Porto De Canoas
520,Charters Towers,AU,71.1,-20.1,146.2667,Cattleman's Rest Motor Inn
536,Mazamari,PE,73.27,-11.3258,-74.5308,Hospedaje Ratto
539,Ilhabela,BR,71.13,-23.7781,-45.3581,Ilha Flat Hotel
543,Rockport,US,78.8,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
547,Rio Branco,BR,75.2,-9.9747,-67.81,João Paulo Hotel
557,San Fernando,PH,78.8,15.0286,120.6898,Maharlika Hostel
559,Simao,CN,70.52,22.7886,100.9748,Changyu Hotel
565,Linguere,SN,75.07,15.3953,-15.1193,Hôtel Amadou Seck
571,Lubao,PH,78.8,14.9167,120.55,Hacienda Gracia
574,Kasongo-Lunda,CD,70.9,-6.4667,16.8167,
579,Puerto Carreno,CO,76.21,6.189,-67.4859,Casa Hotel Victoria
581,Awbari,LY,74.41,26.5921,12.7805,فندق أوباري
582,Prescott,US,71.01,34.54,-112.4685,Prescott Resort & Conference Center
586,Cuautitlan Izcalli,MX,78.01,19.6469,-99.2467,Hotel Posada San Francisco
587,Kakinada,IN,77.59,16.9333,82.2167,Hotel Arka
588,Maragogi,BR,78.24,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
591,Bahia Honda,CU,78.48,22.9036,-83.1592,Casa Gualberto - Deysi
596,Kyaikkami,MM,79.74,16.08,97.5675,Happy Family Kyaikkami
602,Sao Felix Do Xingu,BR,72.86,-6.6447,-51.995,Rio Xingu Camping
604,Poum,NC,77.34,-20.2333,164.0167,Gîte kajeon
614,Mount Isa,AU,78.8,-20.7333,139.5,ibis Styles Mt Isa Verona
